budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2560,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,461,0,298,21302,63,0,0,0,0,39,0,507,0,0,421,23.0,10,35,353,867,495,386,109,0,229,168,61,143,0,0,425,0,0,0,85,34,406,458,234,248,102,118,50,60,16,28,4,4,0,0,0,0,0,0,70,70,676680,0.0,1.73479,0.01868,0.0,0.0,0,8,5.97,7,7,100.0,1,1,100,6,6,100
2560,05,ปปส.ภาค 5,50,เชียงใหม่,897,0,576,90253,216,0,0,0,0,403,0,2045,0,0,1814,167.0,116,265,1266,7350,4464,3264,1200,0,1965,879,1086,921,0,0,4802,0,0,0,1116,556,7442,8186,3248,3321,2030,2149,1728,2161,411,523,17,19,0,0,2,2,2,7,2158,2158,7398462,5.83713,1.43429,5.00058,0.0007,0.02216,0,64,46.04,241,241,100.0,39,39,100,202,202,100
2560,05,ปปส.ภาค 5,57,เชียงราย,1129,0,735,143330,340,0,0,0,0,442,0,1241,0,0,2178,246.0,161,411,1360,3810,2608,2211,397,0,730,134,596,472,0,0,2264,0,0,0,143,88,4150,4692,2293,2389,719,796,840,1128,230,290,48,56,8,17,0,0,1,5,1126,1126,34852622,281.95983,5.985810000000001,170.16279999999998,306.0,0.0,0,57,21.1,103,103,100.0,17,17,100,86,86,100
2560,05,ปปส.ภาค 5,55,น่าน,482,0,344,26385,126,0,0,0,0,63,0,1027,0,0,918,130.0,85,180,523,1217,786,476,310,0,327,60,267,104,0,0,1274,0,0,0,174,17,1411,1549,648,659,336,366,356,438,64,78,6,7,1,1,0,0,0,0,427,427,85892,0.05826,2.18987,0.0,0.0,0.0,0,12,2.99,114,114,100.0,5,5,100,109,109,100
2560,05,ปปส.ภาค 5,51,ลำพูน,312,0,223,29559,70,0,0,0,0,196,0,919,0,0,569,22.0,36,116,395,1452,911,733,178,0,420,2,418,121,0,0,719,0,0,0,147,2,1793,1944,972,1024,392,403,332,396,88,106,3,3,1,1,1,1,3,9,425,425,964461,0.24478999999999998,0.35799000000000003,0.0,0.0,0.0,0,26,39.73,66,66,100.0,9,9,100,57,57,100
2560,05,ปปส.ภาค 5,52,ลำปาง,524,0,317,33938,99,0,0,0,0,148,0,1162,0,0,1002,94.0,107,252,549,2785,1194,827,367,0,690,14,676,901,0,0,2120,0,0,0,385,11,2604,2837,1402,1420,480,508,473,604,241,295,6,7,0,0,0,0,2,3,720,720,3215140,8.9961,0.33619,0.50013,0.0,0.0,0,58,50.06,159,159,100.0,16,16,100,143,143,100
2560,05,ปปส.ภาค 5,56,พะเยา,623,0,216,29792,84,0,0,0,0,99,0,792,0,0,714,28.0,139,196,351,1328,620,172,448,0,574,119,455,134,0,0,981,0,0,0,387,5,1564,1775,923,979,258,296,276,365,101,127,5,7,1,1,0,0,0,0,383,383,2695572,50.564370000000004,0.08195000000000001,0.35247,0.0,0.0,0,24,9.39,50,50,100.0,5,5,100,45,45,100
2560,06,ปปส.ภาค 6,64,สุโขทัย,615,0,308,33279,104,0,0,0,0,178,0,867,0,0,853,89.0,50,110,604,1234,1075,408,667,0,58,15,43,101,0,0,1285,0,0,0,55,1,860,1027,119,124,272,301,254,313,194,263,17,17,0,0,0,0,0,2,465,465,185630,0.14856999999999998,0.41989,0.0,0.0,0.0,0,16,4.85,71,71,100.0,4,4,100,67,67,100
2560,06,ปปส.ภาค 6,53,อุตรดิตถ์,550,0,248,34066,90,0,0,0,0,89,0,948,0,0,644,98.0,97,172,277,1994,1797,1194,603,0,112,15,97,85,0,0,1587,0,0,0,231,96,1015,1200,183,210,263,278,396,481,159,214,12,14,0,0,0,0,0,0,567,567,487138,0.11315,7.62175,0.0,0.0,0.0,0,5,0.87,127,127,100.0,16,16,100,111,111,100
2560,06,ปปส.ภาค 6,62,กำแพงเพชร,808,0,356,50362,136,0,0,0,0,139,0,780,0,0,983,89.0,71,191,632,1491,1002,519,483,0,182,24,158,307,0,0,1513,0,0,0,147,11,1433,1621,518,521,274,305,245,285,371,480,21,22,0,0,0,0,3,7,637,637,200613,0.33393,3.0267399999999998,0.0,0.0,0.0,0,15,5.93,90,90,100.0,3,3,100,87,87,100
2560,06,ปปส.ภาค 6,65,พิษณุโลก,527,0,343,47004,194,0,0,0,0,278,0,948,0,0,1112,241.0,65,150,656,1994,1275,771,504,0,175,29,146,544,0,0,1880,0,0,0,293,224,1297,1561,363,375,236,263,353,466,321,426,22,22,0,0,0,0,2,9,696,696,1266770,14.25858,369.53596999999996,0.0,0.19563,0.0,0,19,11.91,94,94,100.0,11,11,100,83,83,100
2560,06,ปปส.ภาค 6,66,พิจิตร,573,0,309,34797,129,0,0,0,0,132,0,892,0,0,935,49.0,73,184,629,902,686,229,457,0,69,11,58,147,0,0,1286,0,0,0,270,184,932,1101,161,180,191,220,337,405,225,275,16,16,0,0,0,0,2,5,578,578,173946,1.86879,0.71561,0.0,0.0,0.0,0,20,10.38,96,96,100.0,8,8,100,88,88,100
2560,06,ปปส.ภาค 6,67,เพชรบูรณ์,850,0,532,71599,243,0,0,0,0,191,0,1185,0,0,1481,223.0,41,240,977,2601,2206,701,1505,0,57,29,28,338,0,0,2481,0,0,0,108,70,2101,2349,710,715,550,594,487,600,334,418,20,22,0,0,0,0,0,0,841,841,239727,1.8845999999999998,11.13387,0.0,0.0,0.0,0,15,10.34,185,185,100.0,13,13,100,172,172,100
2560,06,ปปส.ภาค 6,61,อุทัยธานี,547,0,226,23200,80,0,0,0,0,72,0,774,0,0,657,16.0,11,21,609,730,519,278,241,0,25,6,19,186,0,0,700,0,0,0,30,2,596,655,283,285,88,94,128,155,87,110,9,9,0,0,0,0,1,2,224,224,14878,0.09554,14.731440000000001,0.0,0.0,0.0,0,26,5.7,27,27,100.0,6,6,100,21,21,100
2560,06,ปปส.ภาค 6,60,นครสวรรค์,679,0,516,54989,183,0,0,0,0,225,0,1302,0,0,1513,26.0,116,269,1102,2259,1528,283,1245,0,90,7,83,641,0,0,2565,0,0,0,360,248,2024,2224,154,159,905,946,696,801,250,297,18,20,0,0,0,0,0,0,964,964,196467,0.77883,3.72591,0.0,0.0,0.0,0,18,4.49,182,182,100.0,12,12,100,170,170,100
2560,06,ปปส.ภาค 6,63,ตาก,522,0,246,66973,120,0,0,0,0,205,0,632,0,0,598,49.0,21,132,396,1555,1152,771,381,0,163,100,63,240,0,0,1098,0,0,0,123,29,1467,1652,766,767,361,404,188,241,129,156,19,79,3,4,0,0,0,0,339,339,211097,0.36197,1.87079,0.0,0.0,0.0,0,9,2.63,30,30,100.0,7,7,100,23,23,100
2560,07,ปปส.ภาค 7,76,เพชรบุรี,409,0,236,32888,85,0,0,0,0,225,0,1049,0,0,742,48.0,60,179,455,1580,1055,110,945,0,415,131,284,110,0,0,1325,0,0,0,179,128,1720,1996,686,741,484,520,327,447,196,244,21,28,1,1,0,0,4,14,545,545,1112562,0.43171,2.12744,0.0,0.01422,0.0001,0,23,107.64,107,107,100.0,11,11,100,96,96,100
2560,07,ปปส.ภาค 7,77,ประจวบคีรีขันธ์,541,0,253,49014,87,0,0,0,0,205,0,881,0,0,485,3.0,15,214,253,780,581,92,489,0,199,52,147,0,0,0,1026,0,0,0,71,71,2011,2273,401,424,593,636,514,606,378,441,118,146,1,1,0,0,6,19,1011,1011,712418,3.39894,44.11983,0.0,0.0008900000000000001,0.07853,0,18,4.02,205,205,100.0,25,25,100,180,180,100
2560,08,ปปส.ภาค 8,86,ชุมพร,390,0,250,37901,100,0,0,0,0,162,0,906,0,0,692,9.0,7,40,636,1005,746,341,405,0,171,24,147,88,0,0,1005,0,0,0,98,3,3908,4366,496,532,2579,2803,642,803,32,39,137,159,2,2,5,5,1,8,818,818,2835866,57.35874,1115.9136299999998,0.0,0.0,0.0,0,36,33.06,101,101,100.0,22,22,100,79,79,100
2560,08,ปปส.ภาค 8,85,ระนอง,71,0,19,3184,32,0,0,0,0,157,0,306,0,0,197,17.0,14,46,120,473,333,152,181,0,51,21,30,89,0,0,495,0,0,0,65,7,1745,1830,177,178,1029,1063,346,375,36,40,153,166,2,3,0,0,1,2,537,537,55314,1.5895299999999999,1.59757,0.0,0.0,0.0,0,7,1.74,17,17,100.0,3,3,100,14,14,100
2560,08,ปปส.ภาค 8,84,สุราษฎร์ธานี,507,0,423,56687,147,0,0,0,0,240,0,1603,0,0,1202,43.0,144,485,530,3153,2380,1145,1235,0,410,95,315,363,0,0,2798,0,0,0,250,169,10398,11646,1775,1780,5589,6156,1505,1795,131,173,1396,1728,0,0,0,0,2,14,3032,3032,699657,19.66939,66.45582,3.02208,0.00285,0.015,0,47,121.07,152,152,100.0,27,27,100,125,125,100
2560,08,ปปส.ภาค 8,82,พังงา,209,0,158,29913,55,0,0,0,0,170,0,510,0,0,340,102.0,29,76,133,600,449,233,216,0,45,5,40,106,0,0,729,0,0,0,97,7,1946,2317,216,274,1081,1240,324,412,79,95,241,290,3,4,0,0,1,1,647,647,96912,1.4350399999999999,6.95594,0.0,0.0,0.0,0,19,7.18,32,32,100.0,11,11,100,21,21,100
2560,08,ปปส.ภาค 8,83,ภูเก็ต,49,0,20,6850,15,0,0,0,0,235,0,4094,0,0,131,1.0,4,0,126,1480,1199,674,525,0,50,13,37,231,0,0,958,0,0,0,26,4,6279,7456,263,269,4569,5335,963,1103,76,92,404,653,1,1,1,1,0,0,1445,1445,301743,17.59601,147.43728,0.25526,0.00045,0.018760000000000002,0,16,9.32,74,74,100.0,34,34,100,40,40,100
2560,08,ปปส.ภาค 8,81,กระบี่,52,0,2,276,16,0,0,0,0,181,0,605,0,0,236,9.0,12,54,161,723,640,242,398,0,18,1,17,65,0,0,945,0,0,0,18,2,3657,4103,187,189,2341,2513,705,873,84,96,337,429,1,1,0,0,0,0,1127,1127,1099406,11.8285,17.35346,0.0,0.0,0.0,0,9,11.27,83,83,100.0,13,13,100,70,70,100
2560,08,ปปส.ภาค 8,80,นครศรีธรรมราช,1485,0,689,95789,238,0,0,0,0,194,0,129,0,0,1651,101.0,143,674,733,2646,1840,367,1473,0,433,42,391,373,0,0,3556,0,0,0,671,143,10152,11184,2559,2588,4111,4441,1495,1802,87,97,1893,2236,1,1,0,0,3,16,3476,3476,1119263,8.53762,35.44775,0.0,0.0,0.0,0,42,12.39,120,120,100.0,16,16,100,104,104,100
2560,09,ปปส.ภาค 9,92,ตรัง,506,0,283,44654,108,0,0,0,0,126,0,870,0,0,762,144.0,70,173,375,1475,1107,416,691,0,118,7,111,250,0,0,1760,0,0,0,384,320,3555,4055,1014,1020,1271,1437,671,820,52,62,531,690,0,0,0,0,16,26,1254,1254,607076,1.19899,7.80873,0.0,0.0,0.0,0,38,11.63,99,99,100.0,15,15,100,84,84,100
2560,09,ปปส.ภาค 9,91,สตูล,291,0,169,27252,69,0,0,0,0,118,0,360,0,0,298,16.0,59,125,98,690,284,72,212,0,229,62,167,177,0,0,958,0,0,0,334,2,3057,3505,786,818,1479,1670,376,451,31,37,349,488,34,36,0,0,2,4,790,790,1046441,5.67827,1029.03076,0.0026,0.0,0.0,0,11,2.82,13,13,100.0,3,3,100,10,10,100
2560,09,ปปส.ภาค 9,90,สงขลา,664,0,401,64534,147,0,0,0,0,405,0,1270,0,0,1031,206.0,121,325,379,7249,4825,2733,2092,0,1326,633,693,1098,0,0,4371,0,0,0,1463,501,9541,11503,1690,1740,4724,5590,1936,2437,79,96,1030,1536,77,84,0,0,3,12,3122,3122,1174931,130.67056,1041.05619,0.44983999999999996,0.32236000000000004,2.0,0,44,86.53,182,182,100.0,38,38,100,144,144,100
2560,09,ปปส.ภาค 9,94,ปัตตานี,468,0,378,71569,145,0,0,0,0,63,0,1153,0,0,680,170.0,100,253,157,3595,3084,686,2398,0,500,155,345,11,0,0,3633,0,0,0,1996,452,3360,4218,802,975,1619,1922,583,764,34,47,313,501,2,2,1,1,0,0,933,933,1022269,0.35191,0.70243,0.27901,0.0,0.0,0,20,5.55,21,21,100.0,1,1,100,20,20,100
2560,09,ปปส.ภาค 9,95,ยะลา,278,0,245,54445,102,0,0,0,0,65,0,585,0,0,444,98.0,72,187,87,1159,874,109,765,0,158,3,155,127,0,0,905,0,0,0,1308,28,3453,3957,228,240,2454,2731,518,668,68,81,167,209,15,25,1,1,0,0,769,769,650622,0.51734,7.02712,0.05066,0.01626,0.0,0,20,11.01,15,15,100.0,6,6,100,9,9,100
2560,09,ปปส.ภาค 9,96,นราธิวาส,484,0,372,87469,119,0,0,0,0,60,0,1018,0,0,569,128.0,107,206,128,1073,827,199,628,0,181,7,174,65,0,0,1843,0,0,0,1301,135,3424,4136,438,488,2012,2371,750,970,93,125,129,179,2,2,0,1,0,0,974,974,928626,35.27479,29.172759999999997,2.2615,0.0,0.0,0,35,18.3,14,14,100.0,3,3,100,11,11,100
2560,10,กรุงเทพมหานคร,10,กรุงเทพมหานคร,283,0,318,218177,128,0,0,0,0,6630,0,10918,0,0,2027,338.0,65,233,1391,12406,4412,1979,2433,0,5866,1054,4812,2128,0,0,7875,0,0,0,1332,962,28762,31340,11871,12371,9224,9997,6374,7129,950,1084,316,709,0,0,2,2,10,28,7642,7642,4440378,150.56562999999997,818.7024699999998,2.1510900000000004,29.4727,1.1573900000000001,0,126,102.14,2931,2931,100.0,996,996,100,1935,1935,100
2560,01,ปปส.ภาค 1,11,สมุทรปราการ,258,0,207,84130,91,0,0,0,0,799,0,505,0,0,340,60.0,20,161,99,3290,2814,310,2504,0,340,85,255,136,0,0,3469,0,0,0,4,1,6121,6335,820,828,3348,3402,1723,1834,201,221,22,26,0,1,0,0,5,21,1946,1946,499315,8.65189,2.05805,0.015390000000000001,15.182979999999999,0.0109,0,28,45.94,541,541,100.0,163,163,100,378,378,100
2560,01,ปปส.ภาค 1,12,นนทบุรี,275,0,162,67380,101,0,0,0,0,427,0,643,0,0,624,54.0,80,168,322,2877,2459,728,1731,0,234,92,142,184,0,0,3879,0,0,0,196,180,3562,3786,553,556,1808,1858,1067,1192,118,147,11,17,1,1,0,0,4,15,1197,1197,1703902,4.5938,6.48787,0.0020299999999999997,0.7183099999999999,0.0,0,16,5.12,502,501,99.8,145,145,100,356,356,100
2560,01,ปปส.ภาค 1,13,ปทุมธานี,256,0,184,58199,84,0,0,0,0,558,0,600,0,0,494,61.0,18,126,289,8137,4802,4463,339,0,575,438,137,2760,0,0,4199,0,0,0,739,253,3656,3994,450,475,1694,1772,1346,1527,83,92,62,96,0,0,0,0,4,15,1491,1491,788223,8.11256,205.79027,0.0,1.31084,0.0,0,29,34.0,535,535,100.0,173,173,100,362,362,100
2560,01,ปปส.ภาค 1,14,พระนครศรีอยุธยา,484,0,320,45646,132,0,0,0,0,556,0,2090,0,0,1498,75.0,195,392,836,3361,2413,1085,1328,0,356,173,183,592,0,0,2257,0,0,0,368,13,2893,3331,378,410,1267,1394,1071,1311,164,193,8,9,0,0,0,0,4,12,1243,1243,9746253,3.0322199999999997,4.15576,0.0,0.22991999999999999,0.0,0,53,29.44,387,387,100.0,61,61,100,326,326,100
2560,01,ปปส.ภาค 1,15,อ่างทอง,228,0,128,13536,52,0,0,0,0,120,0,738,0,0,545,34.0,68,158,285,677,506,350,156,0,71,37,34,100,0,0,810,0,0,0,35,2,748,866,208,228,204,229,276,334,51,64,8,10,0,0,0,0,1,1,335,335,142753,0.57471,0.10983,0.0,0.0,0.0,0,10,6.4,90,90,100.0,9,9,100,81,81,100
2560,01,ปปส.ภาค 1,16,ลพบุรี,406,0,195,23710,107,0,0,0,0,195,0,1491,0,0,1198,79.0,152,369,598,2592,1919,644,1275,0,550,124,426,123,0,0,3003,0,0,0,417,167,2835,3039,727,746,964,992,873,973,261,314,3,3,0,0,0,0,6,10,1137,1137,294650,9.44155,1.08192,0.0,0.1731,0.0,0,36,11.75,214,214,100.0,19,19,100,195,195,100
2560,01,ปปส.ภาค 1,17,สิงห์บุรี,143,0,120,14577,62,0,0,0,0,119,0,430,0,0,299,,52,110,137,459,325,265,60,0,33,10,23,101,0,0,689,0,0,0,63,2,753,821,127,135,221,229,358,402,41,48,5,5,0,0,0,0,1,2,404,404,161174,0.86265,0.23913,0.0,0.0,0.0002,0,5,1.6,64,64,100.0,7,7,100,57,57,100
2560,01,ปปส.ภาค 1,18,ชัยนาท,282,0,68,6064,73,0,0,0,0,63,0,559,0,0,507,12.0,23,79,393,560,344,230,114,0,114,57,57,102,0,0,626,0,0,0,5,1,729,807,200,202,137,144,175,200,210,254,5,5,0,0,0,0,2,2,390,390,30906,0.15122,1.23675,0.0,0.0,0.0,0,7,2.12,57,57,100.0,5,5,100,52,52,100
2560,01,ปปส.ภาค 1,19,สระบุรี,363,0,169,24217,82,0,0,0,0,321,0,1211,0,0,1157,116.0,115,187,739,1966,1512,313,1199,0,233,201,32,221,0,0,2906,0,0,0,165,62,2058,2232,69,71,1264,1326,655,752,58,70,10,10,1,2,0,0,0,0,724,724,359988,3.2091,2.1248299999999998,0.0,0.00034,0.0,0,16,5.21,275,275,100.0,39,39,100,236,236,100
