budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2561,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,374,11254,311,14081,65,17056,0,0,0,40,746,39,111,38,421,11,3,11,396,604,335,294,41,0,164,132,32,105,101,4,454,338,15,101,86,4,436,516,220,230,119,146,72,92,17,25,7,19,0,2,0,0,0,1,96,96,85856,0.01798,0.62214,0.01728,0.0,0.0,0,59,24.08,18,18,100,1,1,100,17,17,100
2561,05,ปปส.ภาค 5,50,เชียงใหม่,1190,68754,712,84530,325,192462,0,0,0,359,27337,64,232,193,1864,92,68,237,1467,9103,5235,4340,895,0,2914,1080,1834,954,791,163,5778,3065,1419,1294,217,163,9131,9821,4569,4619,2156,2261,1904,2292,461,597,31,33,2,2,1,1,3,12,2399,2399,11477934,537.99579,1.8248199999999999,36.17962,0.00138,0.0,0,112,99.97,259,259,100,25,25,100,234,234,100
2561,05,ปปส.ภาค 5,57,เชียงราย,769,61694,593,73768,234,63523,0,0,0,301,13115,128,543,124,1813,85,69,228,1431,5489,3323,3033,290,0,1452,234,1218,714,652,62,2431,1539,445,447,188,2,4945,5688,3083,3269,709,810,882,1229,222,302,37,61,6,9,0,0,1,3,1147,1147,94267161,3649.22963,2.23702,160.79493,210.33245000000002,0.0,0,52,21.78,132,132,100,5,5,100,127,127,100
2561,05,ปปส.ภาค 5,55,น่าน,500,22388,326,23946,123,27216,0,0,0,51,1196,79,313,99,895,36,35,108,716,1425,738,407,331,0,687,278,409,0,0,0,1043,677,294,72,107,0,1881,2085,949,990,402,449,427,516,94,118,6,9,1,1,0,0,0,0,528,528,2919300,0.26875,4.48586,0.0,0.0,0.0,0,32,8.63,86,86,100,2,2,100,84,84,100
2561,05,ปปส.ภาค 5,51,ลำพูน,263,21357,218,22130,68,25091,0,0,0,154,8410,31,137,37,473,5,11,75,382,1656,804,607,197,0,691,92,599,161,160,1,895,791,52,52,55,0,2578,2765,1273,1329,604,630,551,631,137,160,11,11,0,0,0,0,0,2,699,699,345654,0.66227,0.48766000000000004,0.06017,0.0,0.0,0,3,0.76,83,83,100,15,15,100,68,68,100
2561,05,ปปส.ภาค 5,52,ลำปาง,350,14988,305,24237,108,41356,0,0,0,158,5099,78,323,857,826,13,67,214,532,2842,699,381,318,0,1374,238,1136,769,707,62,2304,1054,398,852,67,6,3543,3787,1982,2001,718,737,603,753,229,284,11,12,0,0,0,0,0,0,843,843,18063715,134.73959,0.61746,6.5,0.0008900000000000001,0.0,0,27,10.15,192,192,100,15,15,100,177,177,100
2561,05,ปปส.ภาค 5,56,พะเยา,385,19477,224,21602,86,40882,0,0,0,101,2203,46,214,68,576,17,33,161,365,1614,457,154,303,0,859,112,747,298,258,40,1232,577,301,354,175,0,2028,2320,1252,1378,324,361,344,452,88,103,17,23,0,0,0,0,0,0,449,449,8468026,520.7175,0.42177,0.0,0.0,0.0,0,30,14.3,105,105,100,4,4,100,101,101,100
2561,06,ปปส.ภาค 6,64,สุโขทัย,547,33606,313,30876,111,38872,0,0,0,153,3018,57,233,86,767,56,74,97,540,1633,1239,764,475,0,254,149,105,140,140,0,1505,1174,99,232,34,1,1427,1642,415,451,379,405,402,490,216,261,6,6,0,0,0,0,6,22,624,624,235493,1.43263,0.75673,0.0,0.0,0.0,0,25,8.2,111,111,100,7,7,100,104,104,100
2561,06,ปปส.ภาค 6,53,อุตรดิตถ์,401,21117,236,24592,89,36828,0,0,0,92,3272,96,393,67,644,44,72,137,391,1743,1400,886,514,0,139,42,97,204,204,0,1607,1229,91,287,92,19,1807,2189,659,776,417,456,467,589,233,322,23,23,1,2,0,0,4,18,724,724,958138,0.19652,1.78522,0.0,0.00068,0.0,0,44,11.28,116,116,100,11,11,100,105,105,100
2561,06,ปปส.ภาค 6,62,กำแพงเพชร,651,48825,425,47687,142,55177,0,0,0,151,2993,59,251,134,883,68,55,138,622,1495,897,426,471,0,269,74,195,329,329,0,1636,1039,203,394,44,5,2494,2749,1255,1269,389,420,346,416,483,616,12,13,0,0,0,1,9,14,841,841,247672,0.86214,1.3246,0.0,0.0,0.0,0,18,8.88,134,134,100,8,8,100,126,126,100
