budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2564,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,225,5614,202,13876,50,14829,41,41,0,25,257,88,413,0,404,0,0,62,342,928,433,340,93,0,140,79,61,247,242,5,552,141,28,249,18,0,772,804,567,589,249,263,136,155,35,43,119,119,,,,,0,0,264,286,25891,0.0025099999999999996,0.5805,0.0338,0.0,0.0,1.9447999999999999,0,0,23,23,100.0,0,0,0.0,23,23,100.0
2564,05,ปปส.ภาค 5,50,เชียงใหม่,930,21368,470,45959,224,153590,1004,0,1004,315,22885,418,1484,0,1922,7,7,139,1769,8738,4061,3679,93,289,3866,576,3290,324,225,99,5647,891,1275,199,456,0,11047,11351,8623,8714,2279,2327,2017,2233,640,730,591,604,8.0,8.0,2.0,2.0,0,0,2861,3128,10470022,134.60605999999999,9.57427,19.525290000000002,0.00642,0.06720000000000001,40.46509,0,0,274,261,95.26,22,21,95.45,252,240,95.24
2564,05,ปปส.ภาค 5,57,เชียงราย,580,21714,542,55900,217,67415,24143,0,24143,88,3582,211,990,0,1816,43,27,365,1381,5656,2168,2050,71,47,2175,47,2128,674,595,79,3042,756,302,264,344,0,7665,7791,5634,5706,1324,1345,1502,1675,475,499,592,592,3.0,4.0,1.0,1.0,0,0,2340,2522,50350495,980.2417800000001,9.34716,1.6165,54.594620000000006,0.0,13.1,0,0,195,193,98.97,12,11,91.67,183,182,99.45
2564,05,ปปส.ภาค 5,55,น่าน,379,7052,239,15974,81,22973,119,99,20,43,721,222,837,0,825,5,2,77,741,1737,240,167,72,1,1160,238,922,207,207,0,1162,127,390,201,100,1,3577,3696,3159,3208,574,592,619,714,210,255,94,95,,,,,0,0,738,844,118692,0.039990000000000005,3.1399299999999997,0.0,0.0,0.0,8.735,0,0,84,82,97.62,1,1,100.0,83,81,97.59
2564,05,ปปส.ภาค 5,51,ลำพูน,240,9462,194,19589,72,28320,16,0,16,129,3805,83,454,0,542,0,0,137,405,1833,295,179,100,16,1310,114,1196,113,113,0,1439,255,367,58,110,0,3592,3656,3056,3072,704,716,463,509,136,164,133,134,,,,,0,0,648,705,442706,0.20206,2.2875300000000003,0.0062,0.0,0.0,8.999999999999999e-05,0,0,147,142,96.6,5,5,100.0,142,137,96.48
2564,05,ปปส.ภาค 5,52,ลำปาง,331,9906,297,23730,81,15744,12,0,12,129,3786,123,703,0,820,45,8,324,443,2479,296,219,77,0,1404,245,1159,375,310,65,2324,235,624,216,35,0,4711,4820,3095,3116,928,935,935,1020,329,365,440,441,,,,,0,0,1515,1615,11142011,605.0055600000001,5.83324,0.0,56.002739999999996,0.0,0.01214,0,0,220,198,90.0,12,10,83.33,208,188,90.38
2564,05,ปปส.ภาค 5,56,พะเยา,276,8711,197,17918,76,23155,0,0,0,86,889,155,535,0,820,26,4,149,641,1827,174,89,85,0,1160,272,888,198,193,5,1540,137,450,247,49,0,3396,3449,2941,2978,514,518,483,524,150,165,307,308,,,,,0,0,875,926,16119584,0.15944,0.23216,0.0,0.0,0.0,0.5,0,0,114,111,97.37,6,5,83.33,108,106,98.15
2564,06,ปปส.ภาค 6,64,สุโขทัย,506,10707,295,29483,99,27021,1008,99,909,128,2740,195,494,0,855,28,60,282,485,1647,747,647,100,0,497,125,372,173,173,0,1252,327,230,119,12,0,1669,1767,819,837,568,588,501,567,116,136,16,16,,,,,0,0,592,672,1815166,0.68302,1.61907,0.0,0.00207,0.0,29.50083,0,0,138,138,100.0,12,12,100.0,126,126,100.0
2564,06,ปปส.ภาค 6,53,อุตรดิตถ์,389,10768,230,24472,96,39745,215,70,145,69,2538,98,564,0,644,53,13,220,358,1620,1051,766,124,161,289,32,257,226,226,0,1158,336,66,205,18,0,2028,2188,1747,1842,769,805,782,904,166,207,55,60,,,,,0,0,869,1010,1094557,4.068239999999999,0.7492000000000001,0.0,0.024,0.0,0.0,0,0,140,140,100.0,6,6,100.0,134,134,100.0
2564,06,ปปส.ภาค 6,62,กำแพงเพชร,595,20113,421,44614,131,34157,4311,0,4311,131,2673,178,671,0,983,30,82,197,674,1263,516,397,68,51,311,32,279,435,435,0,1902,228,257,306,45,0,1533,1642,817,860,632,646,530,589,434,496,43,43,,,,,0,0,775,865,1008352,0.75791,2.53477,0.0,0.0,0.0,21.591900000000003,0,0,116,116,100.0,6,6,100.0,110,110,100.0
