budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2557,02,ปปส.ภาค 2,20,ชลบุรี,0,0,0,38142,142,0,0,0,0,40,0,0,0,36.0,876,74,155,364,283,16224,3923,0,0,0,11874,0,0,427,0,0,0,0,0,0,0,0,20664,20935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,3247,1202036,115.12,322.75,0.01,0,0,0,142,47.57,480,462,96.25,167,161,96.41,313,301,96.17
2557,02,ปปส.ภาค 2,21,ระยอง,0,0,0,26919,80,0,0,0,0,131,0,0,0,155.0,525,92,38,86,309,3567,1309,0,0,0,1926,0,0,332,0,0,0,0,0,0,0,0,6379,6551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,1703,685665,7.03,12.81,0.04,0,0,0,63,17.52,228,227,99.56,63,62,98.41,165,165,100.0
2557,02,ปปส.ภาค 2,22,จันทบุรี,0,0,0,18677,77,0,0,0,0,332,0,0,0,9.0,605,112,52,98,343,1032,565,0,0,0,460,0,0,7,0,0,0,0,0,0,0,0,2616,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,504,34825,2.71,33.7,0.0,0,0,0,46,11.19,53,53,100.0,10,10,100.0,43,43,100.0
2557,02,ปปส.ภาค 2,23,ตราด,0,0,0,8009,46,0,0,0,0,10,0,0,0,10.0,222,5,0,40,177,993,444,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,1220,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,173,6052,0.34,1.18,0.01,0,0,0,8,1.63,25,22,88.0,2,2,100.0,23,20,86.96
2557,02,ปปส.ภาค 2,24,ฉะเชิงเทรา,0,0,0,25141,133,0,0,0,0,48,0,0,0,44.0,910,38,88,217,567,3867,1409,0,0,0,2243,0,0,215,0,0,0,0,0,0,0,0,7187,7314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1122,1227,203411,1.23,15.04,0.0,0,0,0,35,14.19,244,243,99.59,78,78,100.0,166,165,99.4
2557,02,ปปส.ภาค 2,25,ปราจีนบุรี,0,0,0,15066,97,0,0,0,0,124,0,0,0,576.0,730,235,93,115,287,2906,1050,0,0,0,1636,0,0,220,0,0,0,0,0,0,0,0,3158,3280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,796,141486,0.2,1.08,0.0,0,0,0,30,6.29,157,139,88.54,39,34,87.18,118,105,88.98
2557,02,ปปส.ภาค 2,27,สระแก้ว,0,0,0,20193,101,0,0,0,0,9,0,0,0,75.0,769,107,47,93,522,2502,911,0,0,0,1590,0,0,1,0,0,0,0,0,0,0,0,2805,2923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,692,2574035,3.51,1.85,0.0,0,0,0,23,3.87,87,87,100.0,28,28,100.0,59,59,100.0
2557,03,ปปส.ภาค 3,30,นครราชสีมา,0,0,0,94025,544,0,0,0,0,108,0,0,0,101.0,3891,215,136,453,3087,9913,4943,0,0,0,2815,0,0,2155,0,0,0,0,0,0,0,0,6942,7258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1866,2134,273708,1.16,435.4,0.0,0,0,0,60,11.95,233,233,100.0,53,53,100.0,180,180,100.0
2557,03,ปปส.ภาค 3,31,บุรีรัมย์,0,0,0,54924,342,0,0,0,0,208,0,0,0,446.0,2584,227,182,476,1699,4408,2790,0,0,0,1136,0,0,482,0,0,0,0,0,0,0,0,2008,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,697,94901,0.31,0.28,0.0,0,0,0,40,4.95,118,118,100.0,22,22,100.0,96,96,100.0
2557,03,ปปส.ภาค 3,32,สุรินทร์,0,0,0,48634,278,0,0,0,0,58,0,0,0,44.0,2152,12,26,82,2032,2994,1689,0,0,0,1090,0,0,215,0,0,0,0,0,0,0,0,1979,2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,699,53402,0.26,0.01,0.0,0,0,0,28,4.58,72,72,100.0,13,13,100.0,59,59,100.0
2557,03,ปปส.ภาค 3,33,ศรีสะเกษ,0,0,0,43476,333,0,0,0,0,39,0,0,0,53.0,2688,455,146,216,1871,4540,3079,0,0,0,1129,0,0,332,0,0,0,0,0,0,0,0,2614,2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,877,125348,70.25,2.77,0.0,0,0,0,31,5.39,119,119,100.0,24,24,100.0,95,95,100.0
