budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2559,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,496,0,0,10207,46,0,0,0,0,0,0,0,0,37,,,,,,683,607,287,320,0,18,0,0,58,0,0,94,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,15,15,100,2,2,100,13,13,100
2559,05,ปปส.ภาค 5,50,เชียงใหม่,1740,0,0,114993,331,0,0,0,0,0,0,0,0,193,,,,,,6209,3609,3349,260,0,1677,0,0,923,0,0,1448,0,0,0,267,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,193,193,100,31,31,100,162,162,100
2559,05,ปปส.ภาค 5,57,เชียงราย,1496,0,0,79942,239,0,0,0,0,0,0,0,0,123,,,,,,4255,3022,2577,445,0,726,0,0,507,0,0,1213,0,0,0,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,100,100,100,15,15,100,85,85,100
2559,05,ปปส.ภาค 5,55,น่าน,506,0,0,26246,115,0,0,0,0,0,0,0,0,99,,,,,,1666,1377,709,668,0,196,0,0,93,0,0,237,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,73,73,100,1,1,100,72,72,100
2559,05,ปปส.ภาค 5,51,ลำพูน,596,0,0,19674,67,0,0,0,0,0,0,0,0,38,,,,,,1283,966,563,403,0,199,0,0,118,0,0,418,0,0,0,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,69,69,100,6,6,100,63,63,100
2559,05,ปปส.ภาค 5,52,ลำปาง,985,0,0,34362,120,0,0,0,0,0,0,0,0,98,,,,,,1665,1083,639,444,0,128,0,0,454,0,0,808,0,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,115,115,100,7,7,100,108,108,100
2559,05,ปปส.ภาค 5,56,พะเยา,441,0,0,16574,88,0,0,0,0,0,0,0,0,68,,,,,,2427,2001,424,1577,0,310,0,0,116,0,0,548,0,0,0,101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,62,62,100,6,6,100,56,56,100
2559,06,ปปส.ภาค 6,64,สุโขทัย,765,0,0,32963,106,0,0,0,0,0,0,0,0,86,,,,,,853,740,399,341,0,96,0,0,17,0,0,705,0,0,0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,61,61,100,8,8,100,53,53,100
2559,06,ปปส.ภาค 6,53,อุตรดิตถ์,791,0,0,32072,94,0,0,0,0,0,0,0,0,72,,,,,,2398,2176,754,1422,0,121,0,0,101,0,0,786,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,77,77,100,11,11,100,66,66,100
2559,06,ปปส.ภาค 6,62,กำแพงเพชร,925,0,0,50686,142,0,0,0,0,0,0,0,0,76,,,,,,1936,1485,378,1107,0,172,0,0,279,0,0,1409,0,0,0,36,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,79,79,100,6,6,100,73,73,100
2559,06,ปปส.ภาค 6,65,พิษณุโลก,820,0,0,35853,173,0,0,0,0,0,0,0,0,92,,,,,,1437,963,356,607,0,153,0,0,321,0,0,968,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,51,51,100,2,2,100,49,49,100
2559,06,ปปส.ภาค 6,66,พิจิตร,749,0,0,34093,133,0,0,0,0,0,0,0,0,89,,,,,,1187,958,183,775,0,38,0,0,191,0,0,355,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,54,54,100,3,3,100,51,51,100
2559,06,ปปส.ภาค 6,67,เพชรบูรณ์,1316,0,0,60948,207,0,0,0,0,0,0,0,0,117,,,,,,1185,703,470,233,0,89,0,0,393,0,0,2041,0,0,0,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,86,86,100,7,7,100,79,79,100
2559,06,ปปส.ภาค 6,61,อุทัยธานี,549,0,0,22491,60,0,0,0,0,0,0,0,0,70,,,,,,838,660,180,480,0,30,0,0,148,0,0,554,0,0,0,14,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,9,9,100,0,0,0,9,9,100
2559,06,ปปส.ภาค 6,60,นครสวรรค์,498,0,0,43335,100,0,0,0,0,0,0,0,0,130,,,,,,1908,1251,430,821,0,103,0,0,554,0,0,1457,0,0,0,192,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,160,160,100,16,16,100,144,144,100
2559,06,ปปส.ภาค 6,63,ตาก,448,0,0,47312,122,0,0,0,0,0,0,0,0,63,,,,,,1227,761,628,133,0,267,0,0,199,0,0,641,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,35,35,100,2,2,100,33,33,100
2559,07,ปปส.ภาค 7,76,เพชรบุรี,416,0,0,26908,81,0,0,0,0,0,0,0,0,93,,,,,,1784,1076,81,995,0,587,0,0,121,0,0,721,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,88,88,100,4,4,100,84,84,100
2559,07,ปปส.ภาค 7,77,ประจวบคีรีขันธ์,630,0,0,43586,97,0,0,0,0,0,0,0,0,48,,,,,,2448,2005,90,1915,0,301,0,0,142,0,0,839,0,0,0,2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,94,94,100,10,10,100,84,84,100
2559,08,ปปส.ภาค 8,86,ชุมพร,497,0,0,37357,101,0,0,0,0,0,0,0,0,70,,,,,,1054,797,227,570,0,129,0,0,128,0,0,526,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,120,120,100,31,31,100,89,89,100
2559,08,ปปส.ภาค 8,85,ระนอง,177,0,0,18272,37,0,0,0,0,0,0,0,0,30,,,,,,550,422,135,287,0,47,0,0,81,0,0,245,0,0,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,10,10,100,0,0,0,10,10,100
2559,08,ปปส.ภาค 8,84,สุราษฎร์ธานี,857,0,0,71865,171,0,0,0,0,0,0,0,0,118,,,,,,2999,2283,1449,834,0,366,0,0,350,0,0,1258,0,0,0,92,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,179,179,100,32,32,100,147,147,100
2559,08,ปปส.ภาค 8,82,พังงา,326,0,0,19510,46,0,0,0,0,0,0,0,0,45,,,,,,1933,1737,173,1564,0,17,0,0,179,0,0,298,0,0,0,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,44,44,100,7,7,100,37,37,100
2559,08,ปปส.ภาค 8,83,ภูเก็ต,5,0,0,3833,11,0,0,0,0,0,0,0,0,17,,,,,,1418,1042,458,584,0,44,0,0,332,0,0,445,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,,,92,92,100,20,20,100,72,72,100
