budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2563,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,198,4644,187,11078,44,11490,286,19,267,37,0,,,0,421,13,8,42,358,782,499,382,117,0,219,163,56,64,64,0,376,261,75,40,33,0,612,578,248,249,167,168,83,95,18,20,94,44,1.0,1.0,0,0,0.0,0.0,196,160,46016,0.001,1.138,0.014,0.0,0.0,0.0,35,8.773924,33,33,100.0,1,1,100.0,32,32,100.0
2563,05,ปปส.ภาค 5,50,เชียงใหม่,1128,32151,672,75467,286,179060,255,181,74,369,0,221.0,1002.0,0,2034,46,30,232,1726,9362,4397,3741,473,0,3971,452,3519,711,904,90,5390,2194,1794,1402,199,0,11197,11383,6353,6355,1745,1786,1864,2072,503,570,721,587,4.0,5.0,0,0,4.0,5.0,3092,3234,38842352,647.137,6.117,39.871,0.08,0.003,3.483,57,47.615757,306,306,100.0,28,28,100.0,278,278,100.0
2563,05,ปปส.ภาค 5,57,เชียงราย,645,24988,557,61796,224,67262,11387,101,11286,126,0,154.0,419.0,0,1816,111,104,308,1293,5458,2203,1889,136,0,2464,51,2413,270,713,78,4337,2456,778,1103,323,4,7287,7168,4499,4508,815,749,1158,1191,323,340,486,373,5.0,6.0,0,0,0.0,0.0,1972,1910,35483015,962.0315,4.292,1.373,100.109,0.0,33.154,34,109.72706,161,161,100.0,9,9,100.0,152,152,100.0
2563,05,ปปส.ภาค 5,55,น่าน,164,5408,107,6922,44,15569,712,0,712,54,0,146.0,658.0,0,916,19,25,98,774,1405,458,250,204,0,893,103,790,54,54,0,1374,641,576,157,184,103,2954,3018,1930,1938,387,400,448,493,125,133,63,53,,,0,0,0.0,0.0,636,679,121619,0.023,4.489,0.0,0.0,0.0,6.514,13,5.096205,72,72,100.0,3,3,100.0,69,69,100.0
2563,05,ปปส.ภาค 5,51,ลำพูน,233,11428,196,19516,66,23285,40,40,0,152,0,84.0,196.0,0,338,2,11,76,249,1660,422,291,100,0,1134,46,1088,51,104,0,1733,761,778,194,178,0,3021,3084,1855,1851,434,436,518,575,93,103,120,118,,,0,0,0.0,0.0,731,796,1779136,0.214,0.882,0.003,0.0,0.0,0.2,1,0.38152,143,143,100.0,5,5,100.0,138,138,100.0
2563,05,ปปส.ภาค 5,52,ลำปาง,355,12288,322,32974,128,51456,142,56,86,153,0,115.0,521.0,0,729,18,61,258,392,2732,152,152,0,0,1693,163,1530,572,766,121,2510,403,950,1157,247,221,4343,4362,2445,2447,652,653,690,724,299,336,255,199,,,0,0,0.0,0.0,1244,1259,12419688,256.329,0.426,0.028,0.0,0.0,0.041,27,9.854039,184,184,100.0,5,5,100.0,179,179,100.0
2563,05,ปปส.ภาค 5,56,พะเยา,300,8272,229,21393,88,22834,112,100,12,110,0,82.0,416.0,0,322,12,18,77,215,1271,183,74,109,0,978,52,926,9,101,9,1367,351,855,161,118,0,2934,2951,1779,1779,351,359,443,482,118,124,241,205,,,0,0,0.0,0.0,802,811,316730,0.321,0.426,0.0,0.0,0.0,0.5,15,5.165105,136,136,100.0,3,3,100.0,133,133,100.0
2563,06,ปปส.ภาค 6,64,สุโขทัย,480,9699,272,15521,92,32289,195,119,76,157,0,82.0,389.0,0,750,29,33,85,603,1239,507,428,79,0,709,105,604,0,23,0,1744,1019,612,113,116,103,2145,2292,876,875,580,613,458,535,178,214,48,49,,,0,0,3.0,3.0,684,798,301403,2.137,0.698,0.0,0.0,0.0,0.5,26,4.398906,116,116,100.0,8,8,100.0,108,108,100.0
2563,06,ปปส.ภาค 6,53,อุตรดิตถ์,363,11208,233,21119,95,36341,73,72,1,84,0,92.0,394.0,0,644,38,59,201,346,1612,954,857,78,0,453,18,435,145,205,0,1305,865,113,327,17,11,2069,2199,791,799,527,535,514,577,178,225,54,53,,,0,0,4.0,9.0,746,855,511268,9.711,0.218,0.0,0.001,0.0,5.57,41,9.334547,150,148,98.67,8,8,100.0,142,140,98.59
2563,06,ปปส.ภาค 6,62,กำแพงเพชร,610,22420,425,45181,141,42710,357,100,257,151,0,154.0,584.0,0,983,33,67,188,695,1343,491,331,160,0,597,69,528,2,255,0,2261,1056,503,702,24,0,2541,2689,1192,1193,486,498,302,337,509,607,48,50,,,0,0,3.0,3.0,859,994,83701,1.175,1.166,0.0,0.005,0.0,56.184,22,38.891543,109,109,100.0,4,4,100.0,105,105,100.0
2563,06,ปปส.ภาค 6,65,พิษณุโลก,635,23646,415,43119,214,72669,84,84,0,254,0,138.0,508.0,0,1112,83,35,186,808,2933,1009,799,210,0,1262,87,1175,325,535,127,3872,1855,1010,1007,25,0,3334,3495,1933,1933,531,564,423,506,337,406,106,82,,,0,0,3.0,3.0,866,994,278173,0.936,1.157,0.0,0.004,0.0,13.332,30,15.229911,143,141,98.6,11,11,100.0,132,130,98.48
2563,06,ปปส.ภาค 6,66,พิจิตร,469,14325,294,32899,134,35812,1797,100,1697,151,0,169.0,508.0,0,880,9,15,58,798,971,369,197,172,0,303,64,239,115,278,21,1033,422,120,491,2,1,1853,1958,940,940,366,382,323,359,189,242,35,35,,,0,0,0.0,0.0,547,636,140540,2.347,0.613,0.0,0.004,0.0,3.2,44,4.62943,135,127,94.07,10,10,100.0,125,117,93.6
2563,06,ปปส.ภาค 6,67,เพชรบูรณ์,744,29853,487,54053,250,76609,286,105,181,166,0,117.0,466.0,0,1239,128,95,250,766,3406,2454,1646,800,0,544,93,451,199,408,0,3332,2458,480,394,9,2,2941,3096,884,886,757,777,1013,1118,185,212,99,99,,,1,1,1.0,2.0,1298,1430,642097,10.487,132.001,0.0,0.024,0.0,2.631,44,5.145786,285,285,100.0,22,22,100.0,263,263,100.0
2563,06,ปปส.ภาค 6,61,อุทัยธานี,363,11754,219,19943,80,22538,0,0,0,69,0,69.0,392.0,0,636,4,19,24,589,673,359,235,124,0,214,38,176,100,100,0,870,555,62,253,5,0,1067,1097,649,651,181,186,140,153,40,47,57,60,,,0,0,0.0,0.0,237,260,32207,0.771,1.305,0.0,0.0,0.0,1.093,8,0.732732,52,52,100.0,2,2,100.0,50,50,100.0
2563,06,ปปส.ภาค 6,60,นครสวรรค์,594,19254,561,51129,202,86304,4475,0,4475,238,0,209.0,415.0,0,1488,85,100,267,1036,1765,884,305,575,0,368,50,318,248,223,290,2347,1333,98,916,215,158,2772,2914,1173,1178,800,831,575,652,184,212,37,37,,,0,0,1.0,2.0,796,901,379929,2.4386,0.622,0.0,0.307,0.005,0.0,46,6.240649,310,307,99.03,15,15,100.0,295,292,98.98
2563,06,ปปส.ภาค 6,63,ตาก,465,16504,245,48353,126,41520,98,50,48,184,0,108.0,430.0,0,598,3,9,94,492,2358,1456,1143,298,0,382,95,287,243,520,0,2473,1399,245,829,29,17,2061,2149,1210,1210,380,393,287,337,128,155,54,50,1.0,1.0,0,0,0.0,0.0,470,543,107118,1500.328,0.168,0.013,0.0,0.0,0.136,23,4.003181,82,81,98.78,8,7,87.5,74,74,100.0
2563,07,ปปส.ภาค 7,76,เพชรบุรี,270,7194,224,19452,70,27594,319,51,268,224,0,67.0,325.0,0,742,13,70,253,406,1496,336,139,197,0,1060,185,875,50,100,0,1519,692,640,187,0,0,2467,2589,1397,1397,539,569,358,401,135,163,30,43,,,0,0,5.0,9.0,523,607,222525,2.10329,0.173,0.265,0.008,0.0,694.0542800000001,26,18.584977,120,120,100.0,4,4,100.0,116,116,100.0
2563,07,ปปส.ภาค 7,77,ประจวบคีรีขันธ์,347,16922,260,39978,100,39692,65,65,0,204,0,253.0,582.0,0,483,2,27,71,383,1335,622,178,444,0,613,189,424,100,100,0,2066,1088,604,374,1,1,2429,2564,788,788,617,636,715,791,189,206,109,130,1.0,2.0,1,1,4.0,5.0,1015,1130,1207399,21.834,10.936,0.011,0.004,0.0,271.4593,11,2.948777,247,247,100.0,29,29,100.0,218,218,100.0
2563,08,ปปส.ภาค 8,86,ชุมพร,246,12507,244,33595,91,27939,12160,0,12160,134,0,,,0,459,41,20,69,329,1064,544,214,329,0,412,100,312,56,108,0,1230,697,318,215,58,0,5051,5275,1409,1407,2343,2392,1073,1239,35,43,175,177,,,0,0,13.0,14.0,1283,1459,642812,508.86,512.692,1.502,0.0,0.0,669.522,54,41.153071,152,151,99.34,11,11,100.0,141,140,99.29
2563,08,ปปส.ภาค 8,85,ระนอง,90,4188,81,9461,35,9842,5567,50,5517,155,0,84.0,201.0,0,157,15,27,59,56,574,196,76,120,0,160,15,145,161,210,8,872,400,93,379,19,7,2577,2651,936,936,1177,1202,312,352,44,48,92,94,14.0,17.0,0,0,1.0,1.0,462,511,142049,4.0860199999999995,1.674,0.0,0.0,0.0,3156.14394,13,8.184703,21,21,100.0,3,3,100.0,18,18,100.0
