budgetYear,REG_ONCB,REG_NAME,PROV_ID,PROV_NAME,youth_place,youth_per,Primary_place,Primary_per,heigher_edu_place,heigher_edu_per,action_outSchooll,protectLand,out_schoolAll,company10up_place,company10up_per,companyLess10_place,companyLess10_per,VolunteerLabor,mcAll,mc_D,mc_C,mc_B,mc_A,treatAll,treatT1All,treatT11,treatT12,treatTbtx,treatT2All,treatT2control,treatT2Nocontrol,treatT3All,treatT3doc,treatT3djop,followAll,followType1,followType2,followType3,wanteHelp,getHelp,arrestAll_case,arrestAll_per,arrestTreat_case,arrestTreat_per,arrestOccupy_case,arrestOccupy_per,arrestOccupy4sale_case,arrestOccupy4sale_per,arrestSale_case,arrestSale_per,arrestProduct_case,arrestProduct_per,arrestImport_case,arrestImport_per,arrestExport_case,arrestExport_per,arrestJoincase_cas,arrestJoincase_per,arrest5Main_case,arrest5Main_per,yaba,ice,cannabisDry,heroine,ketamine,cocaine,kratom,assetPer,assetValue,complainAll,complainAll_action,percentActionAll,complain_area,complain_area_action,percentActionArea,complain_per,complain_per_action,percentActionPerson
2562,05,ปปส.ภาค 5,58,แม่ฮ่องสอน,330,6555,311,15459,76,15907,142,71,213,51,0,,,0,421,15.0,11,41,354,656,391,336,55,,178,146,32,87.0,83.0,4.0,363,272,37,54,76,0.0,476,553,245,278,128,144,91,112,9,15,3,4,0,0,0,0,0,0,103,131,22422,0.00159,0.04765,0.01309,0.0,0.0,0,42,10.75,11,11,100.0,1,1,100,10,10,100.0
2562,05,ปปส.ภาค 5,50,เชียงใหม่,1204,44035,744,102737,339,197636,852,203,1055,361,0,63.0,193.0,0,1775,72.0,60,251,1392,9587,4845,4126,580,139.0,3818,741,3077,924.0,727.0,197.0,5667,2441,1776,1450,171,10.0,10582,11144,6348,6383,1922,2006,1810,2127,464,581,34,38,0,0,0,0,1,8,2308,2746,53152391,500.13519,15.13275,19.990099999999998,139.04578,0.02941,0,100,104.24,253,253,100.0,18,18,100,235,235,100.0
2562,05,ปปส.ภาค 5,57,เชียงราย,616,24504,572,66460,228,66125,5259,89,5348,124,0,94.0,329.0,0,1714,87.0,65,206,1356,5698,3044,2724,208,112.0,1812,87,1725,842.0,743.0,99.0,3136,1900,860,376,177,0.0,5944,6475,3980,4074,759,831,883,1158,262,329,50,66,9,14,0,0,1,3,1204,1567,134861705,963.14913,1.26123,22.623720000000002,94.52592,0.0,0,62,24.51,114,114,100.0,6,6,100,108,108,100.0
2562,05,ปปส.ภาค 5,55,น่าน,425,10288,299,21637,106,25987,229,100,329,58,0,81.0,267.0,0,830,34.0,25,122,649,1708,581,330,242,9.0,908,206,702,219.0,219.0,,1163,648,513,2,68,0.0,2711,2870,1665,1704,392,416,466,531,161,192,24,24,0,0,0,0,1,1,651,747,87404,0.0303,3.74633,0.0,0.0,0.0,0,16,4.14,83,83,100.0,4,4,100,79,79,100.0
2562,05,ปปส.ภาค 5,51,ลำพูน,219,9662,198,19006,70,25478,156,78,234,159,0,67.0,161.0,0,593,4.0,18,98,473,1676,704,438,187,79.0,848,71,777,124.0,124.0,,1506,980,351,175,148,0.0,3017,3161,1825,1863,536,554,525,602,121,131,10,10,0,0,0,0,1,1,656,743,1048629,106.97258000000001,0.17269,0.0,0.001,0.0,0,1,0.36,82,82,100.0,11,11,100,71,71,100.0
2562,05,ปปส.ภาค 5,52,ลำปาง,351,9410,300,20490,108,40336,337,101,438,151,0,75.0,292.0,0,770,40.0,20,138,572,3123,535,362,167,6.0,1776,232,1544,812.0,660.0,152.0,2471,770,687,1014,108,1.0,4047,4251,2517,2542,666,689,631,753,220,251,12,15,0,0,0,0,0,0,863,1019,39014075,1232.06344,2.05075,0.0,0.0012,0.0,0,29,7.29,145,145,100.0,14,14,100,131,131,100.0
2562,05,ปปส.ภาค 5,56,พะเยา,380,11133,230,21038,91,25888,167,0,167,100,0,46.0,144.0,0,353,6.0,6,75,266,1510,425,166,200,59.0,882,140,742,203.0,165.0,38.0,1449,550,484,415,98,4.0,2501,2583,1644,1658,301,311,435,486,82,88,37,38,0,0,0,0,1,1,554,612,5157784,9.18369,0.07561,0.0,0.0,0.0,0,24,6.43,78,78,100.0,3,3,100,75,75,100.0
2562,06,ปปส.ภาค 6,64,สุโขทัย,497,6256,293,15224,99,33463,206,103,309,182,0,67.0,150.0,0,600,25.0,28,77,470,2043,1106,730,318,58.0,634,168,466,303.0,303.0,,1889,1206,245,438,121,1.0,2076,2258,1009,1057,486,506,414,489,153,189,10,10,0,0,0,0,1,6,577,688,510535,1.59373,0.19590000000000002,0.0,0.0,0.0,0,20,7.4,131,131,100.0,7,7,100,124,124,100.0
2562,06,ปปส.ภาค 6,53,อุตรดิตถ์,361,11526,234,21446,96,41539,220,70,290,82,0,63.0,262.0,0,598,28.0,37,126,407,1669,1169,953,183,33.0,285,28,257,215.0,215.0,,1261,748,102,411,23,0.0,2103,2460,966,1117,414,437,557,668,141,202,18,18,0,0,0,0,1,16,716,888,2339333,16.4618,3.0530999999999997,0.0,0.00068,0.0,0,26,3.95,100,100,100.0,7,7,100,93,93,100.0
2562,06,ปปส.ภาค 6,62,กำแพงเพชร,612,23821,420,46062,143,52627,210,105,315,152,0,94.0,272.0,0,857,39.0,82,147,589,1508,799,425,340,34.0,552,79,473,157.0,157.0,,1448,1052,243,153,21,6.0,3610,3811,2188,2208,586,603,346,405,465,568,23,23,0,0,0,0,1,4,834,996,280102,0.53595,2.50431,0.0,0.00292,0.0,0,7,0.95,132,132,100.0,4,4,100,128,128,100.0
